Title,Date,Ranking,Cover Art,Song Titles,Authors,Last Week Position,Peak Position,Weeks On Chart
Billboard Hot 100™,"August 24, 2024",62,https://charts-static.billboard.com/img/2024/07/realbostonrichey-4gx-helpme-cv6-180x180.jpg,Help Me,Real Boston Richey,71,62,4
Billboard Hot 100™,"August 24, 2024",63,https://charts-static.billboard.com/img/2024/08/drake-04g-bluegreenred-5r8-180x180.jpg,Blue Green Red,Drake,-,63,1
Billboard Hot 100™,"August 24, 2024",64,https://charts-static.billboard.com/img/2024/05/lainey-wilson-2a9-hangtighthoney-gub-180x180.jpg,Hang Tight Honey,Lainey Wilson,61,61,9
Billboard Hot 100™,"August 24, 2024",65,https://charts-static.billboard.com/img/2024/03/ariana-grande-gxg-theboyismine-2u8-180x180.jpg,The Boy Is Mine,Ariana Grande,68,16,15
Billboard Hot 100™,"August 24, 2024",66,https://charts-static.billboard.com/img/2024/07/chappellroan-bhw-femininomenon-53b-180x180.jpg,Femininomenon,Chappell Roan,70,66,4
Billboard Hot 100™,"August 24, 2024",67,https://charts-static.billboard.com/img/2023/09/chris-stapleton-gzh-ithinkiminlovewithyou-99q-180x180.jpg,Think I'm In Love With You,Chris Stapleton,75,49,15
Billboard Hot 100™,"August 24, 2024",68,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,Field Trip,"¥$: Kanye West & Ty Dolla $ign Featuring Playboi Carti, Kodak Black & Don Toliver",48,48,2
Billboard Hot 100™,"August 24, 2024",69,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,Chihiro,Billie Eilish,72,12,13
Billboard Hot 100™,"August 24, 2024",70,https://charts-static.billboard.com/img/2024/06/tommyrichman-vhu-devilisalie-q3w-180x180.jpg,Devil Is A Lie,Tommy Richman,63,32,9
Billboard Hot 100™,"August 24, 2024",71,https://charts-static.billboard.com/img/2024/04/tuckerwetmore-cvz-windupmissinyou-2rn-180x180.jpg,Wind Up Missin' You,Tucker Wetmore,73,63,20
Billboard Hot 100™,"August 24, 2024",72,https://charts-static.billboard.com/img/2024/04/tinashe-cxn-nasty-dao-180x180.jpg,Nasty,Tinashe,69,61,11
Billboard Hot 100™,"August 24, 2024",73,https://charts-static.billboard.com/img/2018/06/fuerzaregida-o2t-180x180.jpg,Nel,Fuerza Regida,90,73,3
Billboard Hot 100™,"August 24, 2024",74,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,"I Love You, I'm Sorry",Gracie Abrams,83,74,2
Billboard Hot 100™,"August 24, 2024",75,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,La Patrulla,Peso Pluma & Neton Vega,85,75,4
Billboard Hot 100™,"August 24, 2024",76,https://charts-static.billboard.com/img/2024/03/luisrconriquez-b5a-sinoquieresno-enb-180x180.jpg,Si No Quieres No,Luis R Conriquez x Neton Vega,77,53,15
Billboard Hot 100™,"August 24, 2024",77,https://charts-static.billboard.com/img/2024/05/thomas-rhett-pzq-beautifulasyou-e0m-180x180.jpg,Beautiful As You,Thomas Rhett,81,77,10
Billboard Hot 100™,"August 24, 2024",78,https://charts-static.billboard.com/img/2024/04/markambor-tfz-belongtogether-qu4-180x180.jpg,Belong Together,Mark Ambor,82,74,15
Billboard Hot 100™,"August 24, 2024",79,https://charts-static.billboard.com/img/2019/09/zachbryan-de1-180x180.jpg,American Nights,Zach Bryan,80,21,6
Billboard Hot 100™,"August 24, 2024",80,https://charts-static.billboard.com/img/2023/06/sexyyred-8hq-180x180.jpg,U My Everything,Sexyy Red & Drake,84,44,12
Billboard Hot 100™,"August 24, 2024",81,https://charts-static.billboard.com/img/2024/07/chappellroan-bhw-mykinkiskarma-es9-180x180.jpg,My Kink Is Karma,Chappell Roan,91,81,2
Billboard Hot 100™,"August 24, 2024",82,https://charts-static.billboard.com/img/2024/04/dua-lipa-000-illusion-gq9-180x180.jpg,Illusion,Dua Lipa,67,43,18
Billboard Hot 100™,"August 24, 2024",83,https://charts-static.billboard.com/img/2024/02/richymitchandthecoalminers-gst-180x180.jpg,Evergreen,Richy Mitch And The Coal Miners,-,83,1
Billboard Hot 100™,"August 24, 2024",84,https://charts-static.billboard.com/img/2014/07/shawn-mendes-pz2-180x180.jpg,Why Why Why,Shawn Mendes,-,84,1
Billboard Hot 100™,"August 24, 2024",85,https://charts-static.billboard.com/img/2024/08/drake-04g-housekeepingknows-ndc-180x180.jpg,Housekeeping Knows,Drake Featuring Latto,-,85,1
Billboard Hot 100™,"August 24, 2024",86,https://charts-static.billboard.com/img/2024/07/meganmoroney-bnc-amiokayX-wr9-180x180.jpg,Am I Okay?,Megan Moroney,86,86,2
Billboard Hot 100™,"August 24, 2024",87,https://charts-static.billboard.com/img/2024/06/koe-wetzel-n6g-sweetdreams-63x-180x180.jpg,Sweet Dreams,Koe Wetzel,95,35,13
Billboard Hot 100™,"August 24, 2024",88,https://charts-static.billboard.com/img/2024/04/luke-bryan-3xn-loveyoumissyoumeanit-edi-180x180.jpg,"Love You, Miss You, Mean It",Luke Bryan,99,88,2
Billboard Hot 100™,"August 24, 2024",89,https://charts-static.billboard.com/img/2024/07/pharrell-williams-vru-doublelife-9q5-180x180.jpg,Double Life,Pharrell Williams,-,89,1
Billboard Hot 100™,"August 24, 2024",90,https://charts-static.billboard.com/img/2024/07/thekidlaroi-qev-girls-eaj-180x180.jpg,Girls,The Kid LAROI,-,51,6
